Blockgroup,m0.0,m0.3,m0.6,m0.9,m1.2,m1.5,m1.8,m2.1,m2.4,m2.7,m3.0,m3.3,m3.6,m3.9,m4.2,m4.5,m4.8,m5.1,m5.4,m5.7,m6.0,m6.3,m6.6,m6.9,m7.2
060816001001,0.03714285714285714,0.13357142857142854,0.22499999999999998,0.3214285714285714,0.41428571428571426,0.4392857142857142,0.4592857142857142,0.47785714285714276,0.49714285714285705,0.5178571428571428,0.5371428571428571,0.5657142857142856,0.5892857142857142,0.6135714285714284,0.637142857142857,0.6607142857142856,0.6792857142857142,0.6992857142857142,0.717142857142857,0.732142857142857,0.7492857142857141,0.762142857142857,0.7757142857142856,0.7849999999999998,0.7964285714285713
060816001002,0.13,0.24200000000000002,0.458,0.6679999999999999,0.8760000000000001,0.886,0.894,0.904,0.906,0.908,0.91,0.912,0.914,0.916,0.918,0.92,0.922,0.924,0.926,0.928,0.93,0.932,0.934,0.936,0.9380000000000001
060816022003,0.09200000000000001,0.15800000000000003,0.272,0.394,0.506,0.52,0.534,0.548,0.5700000000000001,0.5940000000000001,0.6160000000000001,0.6300000000000001,0.642,0.658,0.67,0.68,0.69,0.7040000000000001,0.7140000000000001,0.722,0.732,0.744,0.752,0.758,0.77
060816023001,0.028654708520179352,0.11192825112107616,0.1785201793721972,0.24183856502242138,0.30484304932735407,0.33188340807174865,0.3565470852017935,0.37910313901345266,0.4049327354260087,0.43381165919282483,0.45919282511210735,0.4922421524663674,0.5212556053811657,0.5497757847533629,0.5762331838565019,0.6013004484304929,0.6235426008968605,0.6469506726457395,0.6682062780269054,0.6872645739910309,0.7069058295964121,0.7261883408071744,0.7432286995515691,0.758161434977578,0.7741255605381161
060816041011,0.02,0.11,0.16,0.22,0.28,0.35,0.38,0.41,0.44,0.47,0.5,0.54,0.57,0.59,0.62,0.66,0.68,0.7,0.72,0.74,0.76,0.77,0.78,0.79,0.8
060816041012,0.12561403508771926,0.21052631578947364,0.3742105263157894,0.5370175438596491,0.6943859649122806,0.70859649122807,0.720877192982456,0.7354385964912279,0.7478947368421051,0.7596491228070174,0.7710526315789472,0.7756140350877191,0.7801754385964911,0.787017543859649,0.7912280701754384,0.7954385964912278,0.7996491228070174,0.8061403508771928,0.8103508771929823,0.8145614035087717,0.8187719298245612,0.8252631578947366,0.8294736842105261,0.8336842105263156,0.840175438596491
060816042001,0.11156626506024092,0.1934939759036144,0.3413253012048192,0.48903614457831307,0.63144578313253,0.6457831325301203,0.659036144578313,0.6738554216867467,0.6893975903614455,0.705180722891566,0.7199999999999998,0.728313253012048,0.7365060240963853,0.7469879518072287,0.7543373493975901,0.7614457831325299,0.768192771084337,0.7778313253012045,0.7845783132530117,0.7910843373493973,0.7975903614457828,0.8068674698795177,0.8130120481927707,0.8191566265060237,0.8278313253012045
060816042003,0.12342342342342338,0.20592342342342337,0.3652027027027026,0.5266216216216214,0.6807657657657656,0.6931756756756755,0.7043018018018017,0.7167117117117116,0.7299774774774773,0.7432432432432431,0.7565090090090089,0.7607882882882882,0.7650675675675674,0.7723423423423422,0.7766216216216215,0.7809009009009007,0.78518018018018,0.7924549549549549,0.7967342342342341,0.8010135135135134,0.8052927927927926,0.8125675675675674,0.8168468468468466,0.821126126126126,0.8284009009009008
060816044001,0.10666666666666666,0.18999999999999997,0.3441666666666666,0.505,0.6575,0.6649999999999999,0.6725,0.6808333333333333,0.6958333333333333,0.7108333333333333,0.7266666666666666,0.7333333333333333,0.7399999999999999,0.7508333333333332,0.7591666666666665,0.7675,0.7766666666666666,0.7891666666666666,0.7966666666666666,0.8041666666666666,0.8116666666666665,0.8224999999999999,0.8299999999999998,0.8374999999999999,0.8483333333333333
060816044002,0.11790996784565916,0.2052411575562701,0.36942122186495174,0.5354019292604502,0.695016077170418,0.7063665594855305,0.7164630225080386,0.7273633440514469,0.74,0.7532154340836013,0.7656913183279742,0.7705787781350482,0.7754662379421221,0.7830546623794212,0.7879421221864951,0.7931189710610932,0.7977170418006431,0.8053054662379421,0.8099035369774918,0.8145016077170417,0.8190996784565916,0.8263987138263664,0.8312861736334405,0.8358842443729902,0.842893890675241
060816044003,0.09,0.19583333333333328,0.37333333333333324,0.5491666666666667,0.7258333333333331,0.7358333333333331,0.7458333333333331,0.7541666666666664,0.7649999999999998,0.7766666666666665,0.7866666666666665,0.7983333333333331,0.8083333333333331,0.8183333333333331,0.8266666666666664,0.8341666666666665,0.8424999999999998,0.8508333333333331,0.8583333333333332,0.8658333333333331,0.8724999999999998,0.8808333333333331,0.8866666666666665,0.8933333333333331,0.8999999999999998
060816050001,0.10047619047619044,0.17857142857142852,0.31952380952380943,0.4638095238095237,0.596190476190476,0.6114285714285712,0.6347619047619045,0.6495238095238094,0.6628571428571427,0.6804761904761902,0.695238095238095,0.7057142857142855,0.7138095238095236,0.7261904761904759,0.735238095238095,0.7442857142857141,0.7514285714285712,0.7614285714285712,0.7685714285714284,0.7766666666666665,0.7838095238095236,0.7933333333333331,0.7999999999999997,0.8076190476190473,0.8161904761904759
060816050002,0.11,0.12,0.14,0.18,0.2,0.22,0.24,0.26,0.3,0.34,0.38,0.39,0.4,0.42,0.43,0.44,0.45,0.47,0.48,0.49,0.5,0.52,0.53,0.54,0.56
060816051001,0.11680412371134019,0.20845360824742268,0.3849484536082474,0.5678350515463918,0.7443298969072165,0.7507216494845361,0.7571134020618557,0.7635051546391752,0.7762886597938145,0.7890721649484536,0.8018556701030928,0.8050515463917526,0.8082474226804124,0.814639175257732,0.8178350515463917,0.8210309278350515,0.8242268041237113,0.8306185567010309,0.8338144329896907,0.8370103092783505,0.8402061855670103,0.8465979381443298,0.8497938144329897,0.8529896907216494,0.859381443298969
060816051002,0.03131672597864766,0.12056939501779351,0.18206405693950167,0.2383629893238433,0.2957295373665479,0.32135231316725965,0.34665480427046247,0.3691103202846973,0.3932028469750888,0.42177935943060474,0.44604982206405663,0.47750889679715275,0.5045195729537364,0.5322775800711741,0.558683274021352,0.5861565836298929,0.6085765124555156,0.6328113879003554,0.6538078291814942,0.6732740213523127,0.6925978647686828,0.711921708185053,0.7305693950177932,0.7474733096085404,0.7626334519572948
060816054001,0.11,0.12,0.14,0.18,0.2,0.22,0.24,0.26,0.3,0.34,0.38,0.39,0.4,0.42,0.43,0.44,0.45,0.47,0.48,0.49,0.5,0.52,0.53,0.54,0.56
060816054002,0.12074074074074073,0.2162962962962963,0.40296296296296297,0.5907407407407408,0.772962962962963,0.78,0.7892592592592592,0.7966666666666666,0.8059259259259259,0.8159259259259259,0.8255555555555556,0.8285185185185184,0.8311111111111111,0.8366666666666667,0.8396296296296296,0.8425925925925926,0.8455555555555555,0.8507407407407407,0.8537037037037036,0.8566666666666667,0.8596296296296296,0.8648148148148148,0.8677777777777778,0.8707407407407407,0.8759259259259259
060816054005,0.056410256410256404,0.16102564102564096,0.2817948717948717,0.39705128205128193,0.5147435897435897,0.5338461538461537,0.5499999999999998,0.5656410256410255,0.582179487179487,0.6002564102564101,0.6179487179487178,0.6398717948717946,0.6607692307692304,0.6807692307692305,0.7017948717948714,0.7233333333333329,0.7420512820512817,0.7602564102564098,0.777564102564102,0.7939743589743585,0.8096153846153842,0.8252564102564097,0.8398717948717943,0.8542307692307687,0.8669230769230764
060816060001,0.10770053475935829,0.186951871657754,0.3322459893048128,0.4724598930481283,0.606042780748663,0.6202139037433154,0.6408556149732619,0.6548128342245989,0.6684491978609625,0.6850802139037433,0.6998930481283422,0.7094652406417112,0.7174866310160427,0.7293048128342245,0.737807486631016,0.7465240641711229,0.7540106951871657,0.7640641711229945,0.7715508021390374,0.7788235294117647,0.7859893048128341,0.7953475935828875,0.8018181818181818,0.8083957219251336,0.8170588235294116
060816061001,0.11668711656441716,0.2069325153374233,0.38073619631901834,0.5611656441717792,0.7349693251533741,0.7415950920245398,0.7482208588957054,0.7548466257668711,0.7680981595092023,0.7813496932515336,0.7946012269938649,0.7979141104294478,0.8012269938650306,0.8078527607361963,0.811165644171779,0.8144785276073618,0.8177914110429447,0.8244171779141103,0.8277300613496932,0.831042944785276,0.8343558282208587,0.8409815950920244,0.8442944785276073,0.8476073619631901,0.8542331288343558
060816061002,0.11657824933687001,0.20318302387267903,0.36960212201591514,0.5416445623342174,0.7062599469496021,0.7149602122015914,0.7230769230769231,0.7312466843501326,0.7455172413793103,0.759787798408488,0.7735278514588859,0.7772679045092837,0.7810079575596817,0.7881697612732095,0.7919098143236074,0.7956498673740052,0.7993899204244032,0.806551724137931,0.8102917771883289,0.8140318302387267,0.8177718832891246,0.8249336870026525,0.8286737400530504,0.8324137931034482,0.8395755968169761
060816061003,0.1164192139737991,0.20174672489082968,0.36572052401746724,0.535589519650655,0.6978165938864629,0.7066812227074235,0.7149781659388645,0.7233187772925764,0.7380349344978165,0.7527510917030567,0.766943231441048,0.7707860262008733,0.7746288209606986,0.7820087336244541,0.7858515283842794,0.7896943231441047,0.7935371179039301,0.8009170305676855,0.8047598253275108,0.8086026200873362,0.8124454148471615,0.819825327510917,0.8236681222707423,0.8275109170305677,0.834890829694323
060816062001,0.1234234234234234,0.20090090090090088,0.3517567567567567,0.5029279279279278,0.6457657657657657,0.6598648648648648,0.6738738738738739,0.6877477477477476,0.7018468468468467,0.7163963963963963,0.7302702702702701,0.735045045045045,0.7395945945945945,0.7477027027027026,0.7524774774774774,0.7572522522522521,0.762027027027027,0.7699099099099098,0.7746846846846845,0.7794594594594593,0.7842342342342341,0.7921171171171171,0.7968918918918917,0.8016666666666665,0.8095495495495495
060816062002,0.12080536912751673,0.1976510067114093,0.3473154362416106,0.49436241610738246,0.6328859060402682,0.6481208053691273,0.6659060402684561,0.6801342281879192,0.6934899328859058,0.7083221476510064,0.7217449664429527,0.7275167785234896,0.7322818791946306,0.7410067114093957,0.7465100671140936,0.7522818791946305,0.7575167785234896,0.7655033557046976,0.7707382550335568,0.7759731543624158,0.7812080536912749,0.7889261744966439,0.7938926174496641,0.7988590604026843,0.8065771812080533
060816062003,0.10903225806451611,0.1769892473118279,0.29440860215053755,0.4103225806451612,0.5184946236559138,0.53752688172043,0.5564516129032256,0.5745161290322579,0.5937634408602149,0.6144086021505375,0.6333333333333332,0.6432258064516128,0.652795698924731,0.666021505376344,0.6749462365591395,0.6846236559139783,0.6931182795698922,0.705806451612903,0.714301075268817,0.7233333333333332,0.7316129032258062,0.7440860215053761,0.7521505376344084,0.7609677419354837,0.7724731182795697
