BDDF_ID,Blockgroup,Percent,,
624,060816001001,0.07142857142857142857,,
375,060816001001,0.07142857142857142857,,
431,060816001001,0.14285714285714285714,,
575,060816001001,0.14285714285714285714,,
341,060816001001,0.28571428571428571429,,
658,060816001001,0.28571428571428571429,,
114,060816001002,0.20000000000000000000,,
658,060816001002,0.80000000000000000000,,
341,060816022003,0.20000000000000000000,,
107,060816022003,0.40000000000000000000,,
658,060816022003,0.40000000000000000000,,
624,060816023001,0.02242152466367713004,,
209,060816023001,0.02690582959641255606,,
592,060816023001,0.02690582959641255606,,
493,060816023001,0.04484304932735426009,,
575,060816023001,0.05829596412556053812,,
217,060816023001,0.06278026905829596412,,
107,060816023001,0.06278026905829596412,,
559,060816023001,0.07623318385650224215,,
431,060816023001,0.08071748878923766816,,
375,060816023001,0.12556053811659192825,,
658,060816023001,0.15246636771300448430,,
341,060816023001,0.26008968609865470852,,
431,060816041011,1.00000000000000000000,,
205,060816041012,0.03508771929824561403,,
659,060816041012,0.03508771929824561403,,
660,060816041012,0.05263157894736842106,,
114,060816041012,0.15789473684210526316,,
107,060816041012,0.22807017543859649123,,
658,060816041012,0.49122807017543859649,,
205,060816042001,0.02409638554216867470,,
217,060816042001,0.02409638554216867470,,
375,060816042001,0.03614457831325301205,,
341,060816042001,0.03614457831325301205,,
114,060816042001,0.10843373493975903615,,
660,060816042001,0.12048192771084337350,,
107,060816042001,0.25301204819277108434,,
658,060816042001,0.39759036144578313253,,
659,060816042003,0.03153153153153153153,,
114,060816042003,0.12837837837837837838,,
107,060816042003,0.29954954954954954956,,
658,060816042003,0.54054054054054054054,,
643,060816044001,0.08333333333333333333,,
660,060816044001,0.08333333333333333333,,
107,060816044001,0.33333333333333333333,,
658,060816044001,0.50000000000000000001,,
109,060816044002,0.02250803858520900322,,
493,060816044002,0.02893890675241157556,,
114,060816044002,0.10289389067524115756,,
107,060816044002,0.24758842443729903537,,
658,060816044002,0.59807073954983922829,,
341,060816044003,0.08333333333333333333,,
559,060816044003,0.08333333333333333333,,
107,060816044003,0.08333333333333333333,,
375,060816044003,0.08333333333333333333,,
658,060816044003,0.66666666666666666668,,
659,060816050001,0.04761904761904761905,,
431,060816050001,0.04761904761904761905,,
474,060816050001,0.04761904761904761905,,
375,060816050001,0.09523809523809523810,,
204,060816050001,0.14285714285714285714,,
107,060816050001,0.19047619047619047619,,
658,060816050001,0.42857142857142857143,,
107,060816050002,1.00000000000000000000,,
107,060816051001,0.31958762886597938144,,
658,060816051001,0.68041237113402061856,,
643,060816051002,0.02491103202846975089,,
475,060816051002,0.02846975088967971530,,
204,060816051002,0.03202846975088967972,,
624,060816051002,0.03558718861209964413,,
217,060816051002,0.04626334519572953737,,
592,060816051002,0.04982206405693950178,,
545,060816051002,0.05338078291814946619,,
575,060816051002,0.05338078291814946619,,
107,060816051002,0.05338078291814946619,,
559,060816051002,0.05693950177935943060,,
